phase,main_model,feature_group,horizon,seed,train_n,val_n,test_n,node_count,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_change_from_speed_only_percent,fit_time_sec,inference_time_sec,config_hash,data_hash
phase15,TCN,speed_only,1,42,66585,12201,12265,51,0.906022549336461,2.429039396511718,0.0129663923808775,0.0125815265703691,0.9769878914776744,0.0,0.0,0.0,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,1,2024,66585,12201,12265,51,0.9251396566422871,2.453934800807006,0.0133057420529059,0.0129025119334395,0.9765137686029328,0.0,0.0,0.0,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,1,2025,66585,12201,12265,51,0.9084905082432048,2.414344404308656,0.0129851610408153,0.0125609799806245,0.9772654825796704,0.0,0.0,0.0,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,1,2026,66585,12201,12265,51,0.9828015614761122,2.526369192106773,0.0141559595092282,0.0136315782741994,0.9751067884752258,0.0,0.0,0.0,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,1,3407,66585,12201,12265,51,1.1055805200078368,2.54654767527361,0.0154250662716335,0.0149871254200237,0.974707548924393,0.0,1142.743774900002,11.297883999999613,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,1,42,66585,12201,12265,51,1.1662308745417262,2.460402032681061,0.0159104647599521,0.0156024532178733,0.9763898117195018,28.719850890668525,2478.4289794,11.034803499998816,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,1,2024,66585,12201,12265,51,1.1536623941165691,2.4344063303920334,0.0155035622689963,0.0152421710015704,0.9768860891718804,24.701431382120767,2476.314135599998,11.194654699997043,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,1,2025,66585,12201,12265,51,1.1714714928932983,2.485897134325068,0.015916570261632,0.015616818756429,0.975897971064592,28.94702611242837,1824.8727762999988,11.474069800002326,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,1,2026,66585,12201,12265,51,1.1293472182736122,2.4370496007171503,0.0153337711565179,0.0149917159900592,0.9768358679060924,14.911011799512886,2258.4372787999964,10.072486400000344,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,1,3407,66585,12201,12265,51,1.1539159736679954,2.450467717929436,0.0157346309898786,0.0153686155385345,0.9765800875505674,4.371952362168605,2493.834796199997,11.529347499999858,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
